SIMBOLO	FRECUENCIA	CODIGO
T	5938	0000
D	6005	0001
R	6275	0010
6	761	0011000
2	796	0011001
n	801	0011010
5	806	0011011
M	3170	00111
V	6600	0100
L	6606	0101
K	6622	0110
G	6953	0111
S	7027	1000
3	831	1001000
h	435	10010010
=	212	100100110
y	228	100100111
s	899	1001010
i	905	1001011
t	914	1001100
8	451	10011010
_	107	1001101100
]	62	10011011010
[	62	10011011011
.	143	1001101110
k	147	1001101111

	1985	100111
o	980	1010000
a	1026	1010001
C	2072	101001
N	4267	10101
 	2178	101100
H	2227	101101
F	4604	10111
E	4618	11000
1	1138	1100100
l	1152	1100101
c	557	11001100
r	598	11001101
W	1198	1100111
Q	5081	11010
4	613	11011000
v	72	11011001000
x	36	110110010010
w	17	1101100100110
(	5	110110010011100
)	5	110110010011101
q	12	11011001001111
>	158	1101100101
p	325	110110011
9	634	11011010
u	638	11011011
e	1285	1101110
7	648	11011110
d	168	1101111100
g	171	1101111101
f	172	1101111110
;	173	1101111111
P	5468	11100
I	5615	11101
A	5889	11110
m	700	11111000
:	174	1111100100
,	174	1111100101
B	77	11111001100
b	50	111110011010
O	26	1111100110110
J	6	111110011011100
/	8	111110011011101
+	2	11111001101111000
z	2	11111001101111001
U	1	111110011011110100
j	1	111110011011110101
Z	2	11111001101111011
X	8	111110011011111
-	202	1111100111
0	1459	1111101
Y	2999	111111
